Ligand,Binding Affinity,rmsd/ub, rmsd/lb
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-5.5,0.0,0.0
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-5.2,19.96,18.353
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-5.0,19.3,18.12
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-4.9,2.205,1.826
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-4.8,2.257,1.999
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-4.6,19.529,18.239
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-4.5,19.609,18.328
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-4.5,14.982,13.061
2bx4_CC(=O)N1CCN(C(=O)C2=CC=C(Br)C2)CC1_uff_E=264.86,-4.1,2.206,1.712
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.9,0.0,0.0
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.7,5.768,3.742
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.6,18.661,17.355
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.4,5.228,3.618
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.4,4.519,3.094
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.3,5.523,3.43
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.3,6.275,4.636
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.2,19.469,17.424
2bx4_CC(=O)N1CCN(C(=O)c2ccccc2O)CC1_uff_E=237.39,-5.1,9.926,7.202
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.8,0.0,0.0
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.7,6.197,4.745
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.7,5.452,4.202
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.4,10.674,8.132
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.4,10.558,7.952
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.4,18.596,18.301
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.4,19.707,18.084
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.3,2.808,1.915
2bx4_CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1_uff_E=732.92,-5.3,18.71,18.177
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-6.2,0.0,0.0
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-6.2,6.758,0.731
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-6.2,7.965,2.721
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-5.9,17.353,16.313
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-5.9,6.608,1.366
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-5.9,17.394,16.324
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-5.8,3.802,2.696
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-5.8,6.035,4.809
2bx4_O=C(NCc1ccccc1)c1ccccc1_uff_E=123.46,-5.7,11.434,6.896
